"id","theme_id","theme","theme_description","category","constraint","problem","problem_description","action","source_refs"
"117","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Multi-agent research too serial","Lead agent decomposes the problem but then runs subagents one at a time. Wall-clock time is dominated by serial execution.","Two parallelisation kinds: lead spins up 3–5 subagents in parallel; each subagent uses 3+ tools in parallel — up to 90% time reduction","18 — Anthropic Multi-Agent Research"
"118","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Subagent search strategy too narrow","Subagent searched for exactly the phrase in the parent's task. Missed lexically distant but relevant material.","Start with short, broad queries, evaluate available results, then progressively narrow — not the reverse","18 — Anthropic Multi-Agent Research"
"119","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Context compression triggered too aggressively","Compression kicked in at 50% capacity, summarised useful detail away, agent lost the thread.","Trigger compression only when context windows actually start to overflow during multi-part tasks; fine-tune a smaller model on your domain for compression","19 — Cognition Don't Build"
"120","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Edit-apply (large-model markdown → small-model rewrite) introduces ambiguity","Big model produces a markdown patch describing the change. Small model misinterprets the patch boundary. The applied edit is wrong in a subtle way.","Consolidate edit decision-making + file application into a single model action","19 — Cognition Don't Build"
"121","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Subtasks running in parallel with main agent fight each other","Main agent writes to a file; subtask reads, writes back. Race conditions inside the model's view of the world.","Never run subtasks in parallel with the main agent; confine subtasks to answering questions, not writing code","19 — Cognition Don't Build"
"122","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Designing parallelism without checking viability","Parallelised three subagents that needed each other's outputs to function. The parallelism made things slower.","Verify whether parallel agents can see each other's work; if not, redesign sequentially before committing to a parallel topology","19 — Cognition Don't Build"
"123","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Multi-agent writes conflict","Two agents both want to edit the same file. Naive merge produces corruption.","Reads in parallel, writes consolidated into a single unified model call","20 — LangChain How and When"
"124","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Partial Alignment","Security vuln remediation slow","Static analysis flags a vulnerability; remediation takes a human 30 minutes per vuln. The queue keeps growing.","Route SonarQube/Veracode findings to agents — ~1.5 min vs ~30 min human average; budget for ~5–10% of total dev time saved","21 — Cognition Devin 2025"
"125","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Entanglement","Repo-by-repo upgrade plodding","Dependency upgrade needed across 40 repos. Engineer is doing one repo per day.","Write per-repo upgrade instructions, then parallelise across repos — 10–14× human throughput on ETL/Java migration","21 — Cognition Devin 2025"
"126","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Partial Alignment","Legacy codebases undocumented","5M-line legacy codebase. The team that wrote it is retired. No diagrams, no architecture docs.","Use agents to generate diagrams + architecture docs even on 5M-line COBOL or 500GB repos; reallocate humans to features","21 — Cognition Devin 2025"
"127","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Error-analysis lacks structure","Engineer reads 200 failed traces, ends up with a list of impressions but no taxonomy that other people can use.","Spreadsheet: one row per conversation, open-ended failure notes; LLM builds taxonomy; map rows to labels; top 3 categories typically capture 60%+ of failures","22 — Hamel Field Guide"
"128","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Synthetic data generation ad-hoc","""Generate 100 test cases"" produces 100 variations of the same scenario. Coverage is illusory.","Three-dimensional framework: features × scenarios × personas; verify each generated query triggers the intended scenario","22 — Hamel Field Guide"
"129","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Annotation interface friction slows iteration","Annotator wants to rate a trace, add a note, filter to similar cases. UI requires four screens.","Five UX features: (1) all context in one place, (2) one-click correct/incorrect, (3) open-ended feedback, (4) filter/sort by error type, (5) keyboard hotkeys (FastHTML + MonsterUI recommended)","22 — Hamel Field Guide"
"130","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Feature-shipping crowds out learning","Quarterly OKRs are about features. Eval improvement happens nights and weekends, or not at all.","Switch to experiment-based roadmap: 2-week data feasibility, 1-month technical feasibility, 6-week prototype A/B; count experiments shipped","22 — Hamel Field Guide"
"131","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Agent burns budget on doomed plans","Agent commits to a plan with an obvious gap (missing tool, missing data) and runs the plan to completion. No pre-execution check.","Validate plans with cheap heuristics before execution — kill plans exceeding N steps or containing invalid actions","23 — Huyen Agents"
"132","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Tool sprawl hurts agent reliability","Agent has 80 tools. Most never get called. The 80-tool surface makes selection worse than a 10-tool one would.","Start with 5–13 tools, not 100+; ablate each tool to measure marginal contribution","23 — Huyen Agents"
"133","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Planning prompts under-specified","Planning prompt says ""make a plan."" No examples, no constraint about tool inputs/outputs. Agent improvises.","Include 3–5 concrete task→plan examples; explicitly describe each tool's inputs/outputs; require ""always report which parameter values you're using""","23 — Huyen Agents"
"134","T4","Offline → production gap","The pain of eval scores that don't survive contact with production. Offline numbers look fine, then prod regresses silently. Capacity, runtime drift, rate-limit cascades, and rollout discipline catch the team unprepared.","Adaptation","Training ≠ Deployment","Plans bind too tightly to current API names","Plan references `tools.user.fetch_v2`. Tool gets renamed. All historical plans break.","Use natural-language plans (""retrieve best-selling product"") instead of function names (""fetch_top_products()"") — plans age better across API versions","23 — Huyen Agents"
"135","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Planning fails despite prompt engineering","Tried seven prompt variants. Planning still fails. The model is the binding constraint, not the prompt.","If planning still fails after good prompts/examples, upgrade the base model — don't grind on prompts","23 — Huyen Agents"
"136","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Eval dataset skewed towards passes or fails","Eval set is 90% pass cases. Aggregate metrics are dominated by passes; failure modes aren't surfaced.","Target 50:50 split of passes and fails, spanning the full input distribution","24 — Eugene Yan"
"137","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","Automated evaluator alignment unmeasured","The team has both human and automated evaluators but never measured whether they agree on the team's own data.","Calibrate against humans: recall/precision on binary labels, ranking correlation on pairwise comparisons","24 — Eugene Yan"
"138","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Robustness Fragility","Prompts proliferate inconsistently across teams","Five teams each maintain their own copy of the system prompt. Each diverged from a common origin two months ago.","Centralised Jinja templating with semantic versioning; inject guardrails post-resolution so every prompt is wrapped","25 — LinkedIn Engineering"
"139","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Entanglement","Skill registry maintained by hand","List of ""what the agent can do"" is a manually-maintained markdown file. Reality drifts away from the list weekly.","Invert registration: downstream teams annotate endpoints with build plugins → automatic registration in central registry → LLM selects at runtime","25 — LinkedIn Engineering"
"140","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Entanglement","Conversational memory infrastructure built from scratch","Team built vector store + summariser + retrieval to give the agent memory. There was a battle-tested option they didn't know about.","Reuse existing high-availability messaging stacks (semantic search + summarisation baked in)","25 — LinkedIn Engineering"
"141","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Resilience","Entanglement","Model swaps require code changes","Switching from one provider to another means editing 12 files. Want to A/B different models? Code change.","Wrap all LLMs (internal and external) behind the OpenAI Chat Completions API; config-driven switching for A/B testing","25 — LinkedIn Engineering"
"142","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Synthetic test cases too generic","""Generate test inputs for a customer-support agent."" Outputs are bland and don't represent real customers.","Generate 50+ per feature using example-anchored prompts (""Create a contact for John Smith (johndoe@apple.com), phone 123-456-7890"")","28 — Hamel Original"
"143","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Treating LLM evals as unit tests","CI fails because the LLM gave a different (still-correct) answer. The eval was written like a unit test against an exact string.","Don't require 100% pass; set per-failure-mode product-acceptable failure rates","28 — Hamel Original"
"144","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Eval dashboards take weeks to build","Asked the platform team for a dashboard. Three sprints later, still not built.","Build custom dashboards in a day using Streamlit / Gradio / Shiny; include feature/scenario labels, synthetic-vs-real flags, and CRM deep-links","28 — Hamel Original"
"145","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","LLM-judge alignment tracked once, then forgotten","Calibration was done in week 1. Eight weeks in, no one has re-measured.","Track human vs model critique on 25–50 examples iteratively in parallel spreadsheet columns","28 — Hamel Original"
"146","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","Cheap model used as judge to save cost","Judge is the cheapest model available. Saves money; introduces a different bias profile from the model being judged.","Use the most powerful model you can afford for the evaluator/critic — reasoning power matters more there than in production","28 — Hamel Original"
"147","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Partial Alignment","Confusion between fine-tuning and RAG","Team isn't sure whether to fine-tune for style or use RAG for context. Picked one without articulating why.","Fine-tune for syntax/style/rules; use RAG to supply context — different solutions for different failure shapes","28 — Hamel Original"
"148","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Benchmarks without held-out sets","Published benchmark uses the same data for development and reporting. Numbers are inflated; community treats them as benchmark numbers.","Insist on adequate holdout sets — many published benchmarks omit them entirely","29 — Kapoor 2024"
"149","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Model-developer and app-developer optimisation goals conflated","App developer wants per-task latency. Model developer optimises for average accuracy across many tasks. Different curves; different decisions.","Segment eval frameworks: separate suites for model developers vs downstream application developers","29 — Kapoor 2024"
"150","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Cost-capability routing implicit","Easy queries go to the fast model ""because that's how it's coded."" No explicit policy; behaviour drifts as engineers tweak.","Route general questions to Haiku-class models, complex tasks to Sonnet-class — make this explicit, not implicit","30 — Anthropic Building Effective Agents"
"151","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Single prompt overloaded with many considerations","One prompt asks the model to extract entities, classify sentiment, generate a reply, and flag risk. Each task gets half the attention it needs.","Sectioning: separate LLM call per consideration, aggregate at the end","30 — Anthropic Building Effective Agents"
"152","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Evaluator-optimizer loops thrashing","Optimiser proposes a change; evaluator scores it; optimiser proposes the same change again. Loop never converges.","Use the pattern only when (a) evaluation criteria are clear, (b) human feedback measurably improves LLM responses, (c) LLM can produce meaningful critiques","30 — Anthropic Building Effective Agents"
"153","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Eval scope inconsistent across vendors","One vendor's eval is single-turn; another's is multi-turn. Reported numbers aren't comparable.","Document explicitly: single-turn vs multi-turn, virtual vs real-world, narrow vs comprehensive — before publishing scores","31 — CAICT/Huawei"
"154","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Agent interoperability unspecified","Agent A is supposed to call agent B's tools. No standard for messages, auth, error reporting.","Test against MCP and A2A (Agent-to-Agent) communication standards as part of eval","31 — CAICT/Huawei"
"155","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Tool invocation reliability not a headline metric","Whether tool calls succeed at all isn't on the dashboard. Failures hide behind ""task incomplete"" codes.","Track tool-invocation execution success rate as a top-level evaluation metric","31 — CAICT/Huawei"
"156","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Privacy/security testing for agents unstandardised","What does ""security test the agent"" look like as a CI check? No standard playbook.","Build privacy-security testing framework; CAICT identifies this as a current gap","31 — CAICT/Huawei"
"157","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Open-ended rubric scoring","Rubric says ""rate the response on quality, 1–7."" What does 5 mean? Not defined.","Apply 7-dimension agentUniverse scoring: completeness, relevance, conciseness, factualness, logicality, structure, comprehensiveness (5-point per dimension)","32 — Ant Group agentUniverse"
"158","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Observability bespoke per agent","Each agent in the platform has its own logging schema. Cross-agent analysis isn't possible without per-agent code.","Standardise on OpenTelemetry-based instrumentation across agents, LLMs, and tools with full lifecycle tracking","32 — Ant Group agentUniverse"
"159","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Tool-calling capability threshold unset","What's the tool-calling score that's good enough for production? Team doesn't know.","Benchmark on Tau-Bench tool-calling; treat 74.8+ as a production threshold (Qwen3-Max level)","33 — Alibaba Cloud"
"160","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Building monolithic agent platforms","One giant agent platform that does everything. Changes anywhere ripple everywhere.","Modular stack of 7 components: memory servers, RAG, sandbox, MCP connectors, decision systems, knowledge bases, monitoring","33 — Alibaba Cloud"
"161","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Hallucinations persist despite prompting","""Don't make things up"" in the system prompt. Still hallucinates the citation.","Use RL with knowledge-grounding as an explicit reinforcement signal","33 — Alibaba Cloud"
"162","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Regulation","Robustness Fragility","Multi-step reasoning opaque","Agent says ""after considering X and Y, I conclude Z."" Team can't see what X and Y actually were or which one drove the conclusion.","Enforce evidence-result consistency mechanisms + SOP strict-adherence controls","33 — Alibaba Cloud"
"163","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Per-criterion rubric only used at scoring time","Rubric has 12 criteria but the model isn't trained or evaluated on individual criteria. The model is optimising blind.","Feed rubric per-criterion results back into agent training as per-criterion reward signals","35 — Harvey"
"164","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Robustness Fragility","Bank-scale agent rollouts lack pre-execution checks","At a large bank, an agent's plan gets executed without a separate verifier reviewing it first.","Deploy an evaluator agent that simulates the plan and flags issues before execution (Wells Fargo pattern)","36 — Evident"
"165","T6","Multi-agent & orchestration","The pain of multiple agents not playing nicely together. Subagents lose context, writes conflict, parallel work fragments, coordination overhead dominates token spend, and naive multi-agent setups produce worse results than a well-prompted single agent.","Resilience","Entanglement","Multi-agent orchestration built ad-hoc","Every team builds its own orchestration loop. No reference pattern is enforced.","Use LangGraph (Wells Fargo) for sequential task agents; AutoGen with guardrails (BNY) for safety-critical workflows","36 — Evident"
"166","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Contract-extraction quality unmeasured","Agent extracts contract clauses. Whether the extractions are correct is never quantified.","Set hard accuracy thresholds — JPMorgan's contract-termination-date extraction reached 95%+ vs <3% GPT-3.5 baseline","36 — Evident"
"167","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Healthcare evals score answers, not reasoning","Final-answer accuracy is graded; the agent's reasoning trace is ignored. Bad reasoning that produced a right answer passes.","Evaluate the logical coherence of intermediate steps and justifications, not just final answers","37 — Healthcare"
"168","T9","Security & red-team","The pain of being a target. Prompt injection, the lethal trifecta (private data + injection + exfiltration), agent goal hijack, privilege escalation, tool misuse — and the team has no agent-specific threat model or red-team programme.","Regulation","Robustness Fragility","Healthcare benchmarks lack robustness tests","No input-perturbation suite. Healthcare benchmarks don't test paraphrase, formatting, or noise robustness.","Include an input-perturbation suite (formatting, paraphrase, noise) — ~94% of healthcare benchmarks lack this","37 — Healthcare"
"169","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Adaptation","Error is Inherent","Models can't articulate uncertainty","Asked ""how confident are you?"" Model says ""very confident"" regardless of correctness.","Make uncertainty articulation an explicit metric — ~96% of healthcare benchmarks omit it","37 — Healthcare"
"170","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Benchmark scores don't predict deployment outcomes","X% on benchmark didn't predict Y% in clinic. Construct validity was never established.","Verify construct validity: correlate benchmark scores with actual clinical outcomes before deployment","37 — Healthcare"
"171","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Domain coverage unverified","Eval set has 200 cases. Whether it covers the medical domain — what's missing — isn't mapped to a taxonomy.","Map benchmark coverage against ICD-11 and SNOMED CT to ensure representativeness","37 — Healthcare"
"172","T8","Dataset freshness & integrity","The pain of an eval set that has stopped being a faithful proxy for production. Synthetic data diverges from real usage; saturated benchmarks stop differentiating; contamination, missing held-out sets, and skill coverage gaps silently inflate scores.","Resilience","Benchmark Expiry","Eval/training data contamination undetected","Some of the eval set is in the model's training data. Scores are inflated by memorisation, not generalisation.","Run systematic contamination checks for overlap — ~92% of healthcare benchmarks lack such controls","37 — Healthcare"
"173","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Clinical reference standards unclear","Two physicians grading the same agent output disagree. Whose grading is right? No agreed reference.","Use multidisciplinary expert panels (pharmacists + physicians with 10+ years) grading against PCNE v9.1 and HAMEC frameworks","37 — Healthcare"
"174","T10","Human review workflow","The pain of the human side of the loop. Annotation tools slow iteration to a crawl, expert reviewers disagree, inter-rater reliability is unmeasured, sampling misses the tail, error taxonomies drift as the team looks at outputs.","Regulation","Human Feedback is Substrate","Co-pilot uplift unquantified","With and without the agent, clinicians produce similar work. Whether the agent helped, hurt, or had no effect isn't measured.","Test three modes — human-alone, LLM-only, human+LLM co-pilot — and measure F1 plus clinical risk","37 — Healthcare"
"175","T4","Offline → production gap","The pain of eval scores that don't survive contact with production. Offline numbers look fine, then prod regresses silently. Capacity, runtime drift, rate-limit cascades, and rollout discipline catch the team unprepared.","Adaptation","Training ≠ Deployment","Shadow-mode quality undefined","What does ""good shadow-mode result"" look like before promoting to canary? Team plays it by ear.","Use LLM judges to compare factual accuracy, tone, task completion, and format compliance between current and candidate in shadow mode","38 — Tian Pan"
"176","T4","Offline → production gap","The pain of eval scores that don't survive contact with production. Offline numbers look fine, then prod regresses silently. Capacity, runtime drift, rate-limit cascades, and rollout discipline catch the team unprepared.","Adaptation","Training ≠ Deployment","Canary progression ad-hoc","Canary went from 1% to 100% in one step because everyone got busy. Caught a regression at 100%.","Step canary traffic 1% → 5% → 20% → 50% → 100% with dwell time at each step","38 — Tian Pan"
"177","T4","Offline → production gap","The pain of eval scores that don't survive contact with production. Offline numbers look fine, then prod regresses silently. Capacity, runtime drift, rate-limit cascades, and rollout discipline catch the team unprepared.","Adaptation","Training ≠ Deployment","No automatic rollback triggers","Latency p99 doubled during canary. Engineer was at lunch. Rolled back manually 30 minutes later.","Auto-rollback when p99 latency rises >40% or refusal rate jumps >5%","38 — Tian Pan"
"178","T5","Cost & capacity","The pain of cost and capacity as the binding constraint. Token bloat, scaffold-induced cost spread (~33× on identical tasks), idle compute, rate limits, missing prompt caching — operational expense quietly determines what architectures are viable, not model quality.","Regulation","Resource Boundaries","Cost regressions noticed late","New scaffold costs 3× per request. Detected by the finance team via monthly bill, not by the engineering rollout dashboard.","Set explicit cost-per-request delta as a canary rollback trigger, alongside quality and latency","38 — Tian Pan"
"179","T4","Offline → production gap","The pain of eval scores that don't survive contact with production. Offline numbers look fine, then prod regresses silently. Capacity, runtime drift, rate-limit cascades, and rollout discipline catch the team unprepared.","Adaptation","Training ≠ Deployment","New model entering canary without baseline","Promoted candidate to canary; no baseline pre-existed for comparison. Whether it's better, worse, or equal is unknowable.","Replay the prior week of production traffic through the candidate before any user-facing canary","38 — Tian Pan"
